Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/Colab Notebooks/tflite_fp32/5nano_seg-fp16.tflite
Output: 5nano_seg-fp16_edgetpu.tflite

Operator                       Count      Status

LOGISTIC                       66         Operation is working on an unsupported data type
RESIZE_NEAREST_NEIGHBOR        2          Operation is working on an unsupported data type
MUL                            75         Operation is working on an unsupported data type
DEQUANTIZE                     71         Operation is working on an unsupported data type
DEQUANTIZE                     60         Tensor has unsupported rank (up to 3 innermost dimensions mapped)
CONV_2D                        60         Operation is working on an unsupported data type
STRIDED_SLICE                  9          Operation is working on an unsupported data type
ADD                            10         Operation is working on an unsupported data type
MAX_POOL_2D                    3          Operation is working on an unsupported data type
PAD                            7          Operation is working on an unsupported data type
CONCATENATION                  17         Operation is working on an unsupported data type
RESHAPE                        6          Operation is working on an unsupported data type
