Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/Colab Notebooks/tflite_int8_opt/5nano_seg-int8.tflite
Output: 5nano_seg-int8_edgetpu.tflite

Operator                       Count      Status

RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
RESHAPE                        5          Mapped to Edge TPU
RESHAPE                        1          Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            7          Mapped to Edge TPU
CONCATENATION                  16         Mapped to Edge TPU
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
ADD                            10         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
STRIDED_SLICE                  9          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       5          Mapped to Edge TPU
MUL                            75         Mapped to Edge TPU
CONV_2D                        60         Mapped to Edge TPU
LOGISTIC                       66         Mapped to Edge TPU
